ngram_range,min_df,cv_folds,best_params,cv_f1_mean,test_acc,test_prec,test_rec,test_f1,TN,FP,FN,TP,vocab_size,model_obj,vectorizer
"(1, 1)",2,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6811045650800309,0.65625,0.6984126984126984,0.55,0.6153846153846154,61,19,36,44,3550,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=42)",CountVectorizer(min_df=2)
"(1, 1)",2,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6716159359452895,0.625,0.6666666666666666,0.5,0.5714285714285714,60,20,40,40,3550,"DecisionTreeClassifier(max_depth=5, random_state=42)",CountVectorizer(min_df=2)
"(1, 1)",4,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6823851981237683,0.63125,0.6666666666666666,0.525,0.5874125874125874,59,21,38,42,2075,"DecisionTreeClassifier(max_depth=10, min_samples_leaf=2, random_state=42)",CountVectorizer(min_df=4)
"(1, 1)",4,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6768185264801666,0.675,0.7333333333333333,0.55,0.6285714285714286,64,16,36,44,2075,"DecisionTreeClassifier(criterion='entropy', max_depth=5, min_samples_leaf=5,
                       random_state=42)",CountVectorizer(min_df=4)
"(1, 1)",6,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6813208008142728,0.6125,0.6363636363636364,0.525,0.5753424657534246,56,24,38,42,1556,"DecisionTreeClassifier(max_depth=10, min_samples_leaf=2, random_state=42)",CountVectorizer(min_df=6)
"(1, 1)",6,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6767007476466079,0.65625,0.6712328767123288,0.6125,0.6405228758169934,56,24,31,49,1556,"DecisionTreeClassifier(criterion='entropy', max_depth=10, min_samples_leaf=5,
                       random_state=42)",CountVectorizer(min_df=6)
"(1, 2)",2,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.673975395237935,0.65,0.6818181818181818,0.5625,0.6164383561643836,59,21,35,45,15444,"DecisionTreeClassifier(max_depth=5, min_samples_split=10, random_state=42)","CountVectorizer(min_df=2, ngram_range=(1, 2))"
"(1, 2)",2,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.691630685266579,0.625,0.6388888888888888,0.575,0.6052631578947368,54,26,34,46,15444,"DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=42)","CountVectorizer(min_df=2, ngram_range=(1, 2))"
"(1, 2)",4,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6688598818132203,0.6125,0.6216216216216216,0.575,0.5974025974025974,52,28,34,46,6288,"DecisionTreeClassifier(max_depth=10, min_samples_split=10, random_state=42)","CountVectorizer(min_df=4, ngram_range=(1, 2))"
"(1, 2)",4,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6960266072923423,0.63125,0.64,0.6,0.6193548387096774,53,27,32,48,6288,"DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=42)","CountVectorizer(min_df=4, ngram_range=(1, 2))"
"(1, 2)",6,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6751764007865959,0.64375,0.676923076923077,0.55,0.6068965517241379,59,21,36,44,3963,"DecisionTreeClassifier(max_depth=5, min_samples_split=5, random_state=42)","CountVectorizer(min_df=6, ngram_range=(1, 2))"
"(1, 2)",6,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6903231549523923,0.65625,0.6865671641791045,0.575,0.6258503401360545,59,21,34,46,3963,"DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=42)","CountVectorizer(min_df=6, ngram_range=(1, 2))"
